queue_id,legal_name,purpose_en,purpose,silver_sector,labeller_confidence,top3,true_sector,annotator_note
1,Barkhoff & Co. GmbH,"Gardening and landscaping, nursery, wholesale and retail sale of plants of all kinds and related articles.","Der Garten- und Landschaftsbau, der Baumschulbetrieb sowie der Groß- und Einzelhandel mit Pflanzen jeder Art und den damit in Verbindung stehenden Artikeln.",N,low,A|S|P,,
2,Pleistocene & Permafrost Stiftung gemeinnützige UG (haftungsbeschränkt),"the procurement of funds, in particular the collection of donations or other means of promoting science and research; nature conservation and landscape conservation in the sense of the Federal Nature Conservation Act and nature conservation laws of the Länder, environmental protection, coastal protection and flood protection as well as animal welfare.","Beschaffung von Mitteln, insbesondere Sammeln von Spenden oder auf andere Art zur Förderung von Wissenschaft und Forschung; des Naturschutzes und Landschaftspflege im Sinne des Bundesnaturschutzgesetzes und Naturschutzgesetze der Länder, des Umweltschutzes, des Küstenschutzes und des Hochwasserschutzes sowie des Tierschutzes.",S,low,A|O|E,,
12,Aegis Coating GmbH,Surface treatment and corrosion protection,Oberflächenbehandlung und der Korrosionsschutz,C,high,B|E|H,,
21,Jürgen Lässig Verwaltungs-GmbH,"The subject matter of the company is exclusively the assumption of personal liability and the management of the future limited partnership under the company: Jürgen Lässig GmbH & Co. Kommanditgesellschaft in Geilenkirchen, which is concerned with the trade in electrical goods of all kinds, the execution of electrical installations and the control cabinet construction.","Gegenstand des Unternehmens ist ausschließlich die Übernahme der persönlichen Haftung und die Geschäftsführung der künftigen Kommanditgesellschaft unter der Firma: Jürgen Lässig GmbH & Co. Kommanditgesellschaft in Geilenkirchen, die den Handel mit Elektrowaren aller Art, die Durchführung von Elektroinstallationen und den Schaltschrankbau zum Gegenstand hat.",M,high,C|M|H,,
24,HERA Medien UG (haftungsbeschränkt),"Production and distribution (EH) of polygraphic bookseller products of own and foreign works, advertising and promotion services (incl. Preparation, production and publication of advertising and promotion using all accessible means of polygraphic and audiovisual transmission), production and distribution of homepages, websites as well as hardware and software.","Herstellung und Vertrieb (EH) von polygraphischen buchhändlerischen Erzeugnissen eigener und fremder Werke, Werbe- und Promotions-Dienstleistungen (incl. Vorbereitung, Produktion und Veröffentlichung von Werbung und Promotion unter Ausnutzung von allen zugänglichen Mitteln der Polygraphischen und Audiovisuellen Übertragung), Herstellung und Vertrieb von Homepages, Webseiten sowie von Hard- und Software.",J,low,C|J|G,,
41,Weiten Industrie-Service Verwaltungsgesellschaft mbH,"Trade, sale and manufacture of protective ventilation systems, air conditioning systems, particulate filter systems and other process cleaning systems and all relevant business activities related to them","Handel und Verkauf sowie Herstellung von Schutzbelüftungsanlagen, Klimaanlagen, Partikelfilteranlagen und sonstigen verfahrenstechnischen Aufreinigungsanlagen und alle zweckdienlichen Geschäfte, die im Zusammenhang stehen",C,high,C|G|E,,
48,"REIWA GmbH Heizungs-, Lüftungs- und Sanitäreinbau","Creation and distribution of heating, ventilation and sanitary installations.","Erstellen und Vertrieb von Heizungs-, Lüftungs- und Sanitäreinbau-Anlagen.",F,high,D|E|C,,
53,"CONTA 2000 GmbH Containerdienst-, Erd- und Abbrucharbeiten","The carrying out of earth and demolition work as well as the maintenance of container services, including the collection and transport of waste, road and civil engineering, masonry and concrete construction.","Die Durchführung von Erd- und Abbrucharbeiten sowie die Unterhaltung von Containerdiensten, einschließlich des Einsammelns und Beförderns von Abfällen sowie der Straßen- und Tiefbau, Mauerer- und Betonbauerhandwerk.",F,high,E|N|S,,
58,Laible Brandschutztechnik GmbH,"Sales, maintenance and repair of portable and mobile extinguishing systems. Maintenance and repair of stationary extinguishing systems. Creation of fire protection plans and concepts.","Vertrieb, Wartung und Instandsetzung von tragbaren und fahrbaren Löschsystemen. Wartung und Instandsetzung von stationären Löschanlagen. Erstellung von Brandschutzplänen- und Konzepten.",N,low,E|D|H,,
83,CIB GmbH,"Purchase of confectionery, events, distribution of tea, chocolate and cocoa as well as sale of alcoholic and non-alcoholic hot and cold drinks, baked goods, sweets, food and beverages and rental of movable goods, including all related activities.","Einkauf von Süßwaren, Veranstaltungen, Vertrieb von Tee, Schokolade und Kakao sowie Verkauf von alkoholischen und nichtalkoholischen Heiß- und Kaltgetränken, Backwaren, Süßigkeiten, Lebensmitteln und Getränken sowie Vermietung von beweglichen Gegenständen, je einschließlich aller damit im Zusammenhang stehenden Tätigkeiten.",G,low,G|I|R,,
86,Romachova GmbH,Acquisition of the legal status of a complementary in redsquare GmbH & Co. KG,Übernahme der Rechtsstellung eines Komplementärs in der redsquare GmbH & Co. KG,M,high,G|M|U,,
90,Hyalvomed UG (haftungsbeschränkt),"the trade in hyaluron and beauty products, the undersplash of hyaluron in Hyalumed institutes and associated practices","der Handel mit Hyaluron und Schönheitsprodukten, die Unterspritzung von Hyaluron in Hyalumed Instituten und angeschlossenen Praxen",G,low,G|Q|C,,
